INFO 2025-12-05 21:19:33,311 autoreload Watching for file changes with StatReloader
DEBUG 2025-12-05 21:19:33,313 autoreload Waiting for apps ready_event.
DEBUG 2025-12-05 21:19:33,415 autoreload Main Django thread has terminated before apps are ready.
DEBUG 2025-12-05 21:19:33,425 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-12-05 21:19:33,430 autoreload Watching dir /code/templates with glob **/*.
DEBUG 2025-12-05 21:19:33,520 autoreload File /usr/local/lib/python3.11/site-packages/django/utils/encoding.py first seen with mtime 1764962284.0
DEBUG 2025-12-05 21:19:33,521 autoreload File /usr/local/lib/python3.11/site-packages/twisted/logger/_io.py first seen with mtime 1764962285.0
DEBUG 2025-12-05 21:19:33,522 autoreload File /usr/local/lib/python3.11/site-packages/twisted/logger/_levels.py first seen with mtime 1764962285.0
DEBUG 2025-12-05 21:19:33,525 autoreload File /usr/local/lib/python3.11/site-packages/celery/loaders/app.py first seen with mtime 1764962289.0
DEBUG 2025-12-05 21:19:33,526 autoreload File /usr/local/lib/python3.11/site-packages/attr/_funcs.py first seen with mtime 1764962281.0
DEBUG 2025-12-05 21:19:33,527 autoreload File /usr/local/lib/python3.11/site-packages/django/db/models/base.py first seen with mtime 1764962284.0
DEBUG 2025-12-05 21:19:33,528 autoreload File /usr/local/lib/python3.11/asyncio/constants.py first seen with mtime 1763445583.0
DEBUG 2025-12-05 21:19:33,529 autoreload File /usr/local/lib/python3.11/site-packages/pyasn1/codec/streaming.py first seen with mtime 1764962280.0
DEBUG 2025-12-05 21:19:33,529 autoreload File /usr/local/lib/python3.11/site-packages/twisted/python/randbytes.py first seen with mtime 1764962285.0
DEBUG 2025-12-05 21:19:33,530 autoreload File /usr/local/lib/python3.11/site-packages/django/db/models/manager.py first seen with mtime 1764962284.0
DEBUG 2025-12-05 21:19:33,531 autoreload File /usr/local/lib/python3.11/site-packages/attr/_compat.py first seen with mtime 1764962281.0
DEBUG 2025-12-05 21:19:33,531 autoreload File /usr/local/lib/python3.11/asyncio/taskgroups.py first seen with mtime 1763445583.0
DEBUG 2025-12-05 21:19:33,532 autoreload File /usr/local/lib/python3.11/site-packages/django/db/models/aggregates.py first seen with mtime 1764962284.0
DEBUG 2025-12-05 21:19:33,533 autoreload File /usr/local/lib/python3.11/site-packages/autobahn/wamp/gen/wamp/proto/Yield.py first seen with mtime 1764962289.0
DEBUG 2025-12-05 21:19:33,533 autoreload File /usr/local/lib/python3.11/email/headerregistry.py first seen with mtime 1763445583.0
DEBUG 2025-12-05 21:19:33,534 autoreload File /usr/local/lib/python3.11/site-packages/django/template/loaders/__init__.py first seen with mtime 1764962284.0
DEBUG 2025-12-05 21:19:33,535 autoreload File /usr/local/lib/python3.11/site-packages/django/contrib/auth/checks.py first seen with mtime 1764962283.0
DEBUG 2025-12-05 21:19:33,535 autoreload File /usr/local/lib/python3.11/site-packages/twisted/plugin.py first seen with mtime 1764962285.0
DEBUG 2025-12-05 21:19:33,537 autoreload File /usr/local/lib/python3.11/site-packages/django/views/static.py first seen with mtime 1764962284.0
DEBUG 2025-12-05 21:19:33,537 autoreload File /usr/local/lib/python3.11/site-packages/autobahn/util.py first seen with mtime 1764962289.0
DEBUG 2025-12-05 21:19:33,538 autoreload File /usr/local/lib/python3.11/site-packages/sqlparse/filters/__init__.py first seen with mtime 1764962279.0
DEBUG 2025-12-05 21:19:33,539 autoreload File /usr/local/lib/python3.11/site-packages/celery/app/base.py first seen with mtime 1764962289.0
DEBUG 2025-12-05 21:19:33,540 autoreload File /usr/local/lib/python3.11/site-packages/django/db/models/fields/related_descriptors.py first seen with mtime 1764962284.0
